1+XA-2DTNABC+AIRBUS A340++52
2+XA-0YRNABC+BOEING 747++210
3+XA-AVV6ABC+EMBRAER 170++163
4+XA-710TABC+BOEING 747++210
5+XA-U9SQABC+BOEING 767++229
6+XA-OTGPABC+AIRBUS A330++121
7+XA-8ZCNABC+EMBRAER 170++163
8+XA-FSYJABC+AIRBUS A340++152
9+XA-045QABC+BOEING 747+2910+210
10+XA-WGHTABC+AIRBUS A340+2019+152
11+XA-8DMSABC+AIRBUS 300-600 ST+2732+
12+XA-GAQZABC+BOEING 747-400 ERF+3023+
13+XA-WAVDABC+AIRBUS A340+2019+
14+XA-6PKSABC+BOEING 747-400 ERF+3023+
15+XA-JAE4ABC+BOEING 747+2910+
16+XA-EX1AABC+AIRBUS A340+2019+
17+XA-W9TLABC+AIRBUS A319+2683+
18+XA-IJJEABC+ANTONOV 225 MRIYA+5736+
19+XA-DBTNABC+BOEING 747-400 ERF+3023+
20+XA-DPTDABC+BOEING 747+2910+
